City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
652,Abu Kamal,SY,54.61,overcast clouds,34.4506,40.9171,محطة التلفاز
659,Baghmara,IN,69.04,overcast clouds,23.795,86.2085,Shankar tea shop
664,Nkhotakota,MW,77.9,clear sky,-12.9274,34.2961,Sitima Inn
665,Redwater,US,68.29,few clouds,33.3582,-94.2544,Witterstaetter Properties
666,Trogir,HR,54.9,overcast clouds,43.5125,16.2517,Hotel Medena
667,Toamasina,MG,73.4,few clouds,-18.1667,49.3833,Hotel H1
670,Antofagasta,CL,61.88,scattered clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
672,Olinda,BR,76.73,light rain,-8.0089,-34.8553,Hotel Albergue de Olinda
674,Abnub,EG,55.62,overcast clouds,27.2696,31.1511,Romany Adly Gad
678,Pedernales,DO,78.53,few clouds,18.0384,-71.744,Hotel Costa Marina
680,Axim,GH,78.49,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
682,Berbera,SO,75.61,scattered clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
683,Yanzhou,CN,50.94,clear sky,35.5528,116.8286,Yuegong Commercial Hotel
685,Mbeya,TZ,57.9,few clouds,-8.9,33.45,Leda Lodge
687,San Miguel,SV,76.37,few clouds,13.4833,-88.1833,Hotel Tropico Inn San Miguel
688,Darnah,LY,62.33,broken clouds,32.767,22.6367,فندق الفردوس
691,Port-Gentil,GA,79.56,moderate rain,-0.7193,8.7815,Fengshui Residence
692,Wanaka,NZ,68.11,scattered clouds,-44.7,169.15,Wanaka Homestead Lodge and Cottages
693,Asyut,EG,55.58,overcast clouds,27.181,31.1837,Florence Hotel Assiut
694,Hualmay,PE,66.49,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
696,Monrovia,LR,79.27,light rain,6.3005,-10.7969,Sunset Inn
